Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,0,0,0,0,0,0,0,0,0,0
Nesk,Liquid,0,0,0,0,0,0,0,0,0,0
Paluh,Liquid,0,0,0,0,0,0,0,0,0,0
Resetz,Liquid,0,0,0,0,0,0,0,0,0,0
Maia,Liquid,0,0,0,0,0,0,0,0,0,0
Ask,Black Dragons,0,0,0,0,0,0,0,0,0,0
Loira,Black Dragons,0,0,0,0,0,0,0,0,0,0
Guto,Black Dragons,0,0,0,0,0,0,0,0,0,0
Nuxga,Black Dragons,0,0,0,0,0,0,0,0,0,0
Florio,Black Dragons,0,0,0,0,0,0,0,0,0,0
Psycho,NiP,0,0,0,0,0,0,0,0,0,0
Pino,NiP,0,0,0,0,0,0,0,0,0,0
Muzi,NiP,0,0,0,0,0,0,0,0,0,0
Wizard,NiP,0,0,0,0,0,0,0,0,0,0
Kondz,NiP,0,0,0,0,0,0,0,0,0,0
Arthur,E1,15,12,1,16,3,14,1,47,22,2.1363636363636362
Flastry,E1,13,5,2,15,2,14,0,43,22,1.9545454545454546
Emptz,E1,15,8,4,13,2,14,0,60,22,2.727272727272727
Stk,E1,25,13,5,18,0,14,0,96,22,4.363636363636363
Peres,E1,18,8,0,13,3,14,0,65,22,2.9545454545454546
Vitaking,FaZe,13,6,0,15,2,15,1,48,26,1.8461538461538463
Handy,FaZe,30,17,5,13,1,15,1,140,26,5.384615384615385
Cyber,FaZe,22,9,5,20,4,15,0,73,26,2.8076923076923075
Soulz,FaZe,16,10,4,12,3,15,0,66,26,2.5384615384615383
Kds,FaZe,19,9,1,14,1,15,0,74,26,2.8461538461538463
Volpz,W7M,19,5,2,16,1,8,0,60,22,2.727272727272727
Lobin,W7M,13,5,2,17,7,8,0,15,22,0.6818181818181818
Dash,W7M,17,7,3,19,0,8,0,43,22,1.9545454545454546
Dotz,W7M,10,1,3,17,2,8,0,16,22,0.7272727272727273
Dodez,W7M,16,9,0,17,2,8,0,32,22,1.4545454545454546
Lenda,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Stemp,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Daffodil,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Hatez,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Hornet,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Rare,MIBR,0,0,0,0,0,0,0,0,0,0
Gomes,MIBR,0,0,0,0,0,0,0,0,0,0
Yektz,MIBR,0,0,0,0,0,0,0,0,0,0
Semper,MIBR,0,0,0,0,0,0,0,0,0,0
Bullet,MIBR,0,0,0,0,0,0,0,0,0,0
Herdz,Furia,25,8,8,22,5,11,0,79,26,3.0384615384615383
Kheyze,Furia,15,9,1,23,5,11,0,11,26,0.4230769230769231
Jv92,Furia,8,5,2,17,2,11,0,6,26,0.23076923076923078
Felipox,Furia,15,5,0,19,2,11,0,31,26,1.1923076923076923
Nade,Furia,10,2,0,18,1,11,1,22,26,0.8461538461538461
Astro,Fluxo,0,0,0,0,0,0,0,0,0,0
Lukid,Fluxo,0,0,0,0,0,0,0,0,0,0
Rappz,Fluxo,0,0,0,0,0,0,0,0,0,0
Mitrix,Fluxo,0,0,0,0,0,0,0,0,0,0
Hash,Fluxo,0,0,0,0,0,0,0,0,0,0
